id,business_category,product_name,product_number,product_type,product_trigram,prerequisite,available_pricing,default_support_level,ext_enterprise_user,remote_access,licensing_structure,withdrawn_after,portfolio_type,portfolio_product,included_product_numbers,included_item_names,ds_offerings
2878,V5,DELMIA - Arc Welding Programmer Bundle,5CB-AWPB,Package,AWPB,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2111,V5,CATIA - ADVANCED MACHINING 2 Product,5AP-AMG,Add-On,AMG,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2367,V5,CATIA User Companion for Sheetmetal Product,5CP-SMS,Shareable,SMS,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2879,V5,DELMIA - Arc Welding Programmer,5AP-AWU,Add-On,AWU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2112,V5,CATIA - ASSEMBLY DESIGN 1 Product,5AP-AS1,Add-On,AS1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2368,V5,CATIA - FREESTYLE OPTIMIZER 2 Configuration,5CC-SO2,Configuration,SO2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2880,V5,DELMIA - Arc Welding Programmer,5CP-AWU,Shareable,AWU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2113,V5,CATIA - ASSEMBLY DESIGN 2 Product,5AP-ASD,Add-On,ASD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2369,V5,CATIA - DMU SPACE ENGINEERING ASSISTANT 2 Product,5CP-SPE,Shareable,SPE,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2881,V5,DELMIA - Daihen Robot Library & OLP,5AP-DRU,Add-On,DRU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2114,V5,CATIA - ASSEMBLY DESIGN 2 Product,5CP-ASD,Shareable,ASD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2370,V5,CATIA - DMU SPACE ENGINEERING ASSISTANT 2 Product,5AP-SPE,Add-On,SPE,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
